761	"Planck area"	is	2.6e-70	sqmeter
762	"Area of a lipid bilayer, per molecule"	is	5.0e-19	sqmeter
763	"Surface area of the 20 standard amino acids"	is	1.39642e-18	sqmeter
764	"Globular proteins : solvent-accessible surface area of a typical globular protein, having a typical molecular weight of ~35000 daltons, quite variable"	is	1.0e-16	sqmeter
765	"Cross-sectional area of a nuclear pore complex in vertebrates"	is	1.7e-14	sqmeter
766	"Surface area of an E. coli bacterium"	is	6.0e-12	sqmeter
767	"Surface area of a red blood cell"	is	1.0e-10	sqmeter
768	"Range of common LCD screen pixel sizes"	is	2.56905e-08	sqmeter
769	"Area of a dot printed using 300 dots per inch resolution"	is	7.0e-09	sqmeter
770	"Cross-sectional area of a straight human hair that is 100 um in diameter"	is	8.0e-09	sqmeter
771	"Size of a pixel on a typical modern computer display"	is	5.5e-08	sqmeter
772	"Cross-sectional area of a mechanical pencil lead, 0.5-0.7 mm in diameter"	is	2.82843e-07	sqmeter
773	"Area of a human fovea"	is	1.414e-06	sqmeter
774	"Area of the head of a pin"	is	2.0e-06	sqmeter
775	"Area of a 6-8 mm hole punched in a piece of paper by a hole punch"	is	3.873e-05	sqmeter
776	"Area of one side of a U.S. penny"	is	0.00029	sqmeter
777	"Area of a typical postage stamp"	is	0.0005	sqmeter
778	"Area of a human retina"	is	0.0011	sqmeter
779	"Area of the face of a credit card"	is	0.0046	sqmeter
780	"Largest side of a cigarette box"	is	0.0048	sqmeter
781	"Index card, 3 × 5 inches"	is	0.01	sqmeter
782	"American letter paper, 11 × 8.5 inches, ""A"" size"	is	0.06	sqmeter
783	"International A4 paper, 210 × 297 mm"	is	0.0625	sqmeter
784	"1 square foot"	is	0.093	sqmeter
785	"International A3 paper, 297 × 420 mm"	is	0.125	sqmeter
786	"Surface area of a basketball, diameter 24 cm"	is	0.18	sqmeter
787	"International A2 paper, 420 × 594 mm"	is	0.25	sqmeter
788	"International A1 paper, 594 × 841 mm"	is	0.5	sqmeter
789	"International A0 paper, 841 × 1189 mm"	is	1.0	sqmeter
790	"A number commonly used as the average body surface area of a human"	is	1.73	sqmeter
791	"Area of the top of an office desk"	is	2.82842712474619	sqmeter
792	"A parking space"	is	14.142135623731	sqmeter
793	"Approximate surface area of a human lung"	is	70.0	sqmeter
794	"One are, a"	is	100.0	sqmeter
795	"Size of a volleyball court, 18 × 9 metres"	is	162.0	sqmeter
796	"Floor area of a median suburban three-bedroom house in the US in 2010: 2,169 sq ft, 201.5 m 2"	is	202.0	sqmeter
797	"Size of a tennis court"	is	261.0	sqmeter
798	"Surface area of the water in an Olympic-size swimming pool"	is	1250.0	sqmeter
799	"1 acre"	is	4047.0	sqmeter
800	"Size of an American football field"	is	5400.0	sqmeter
801	"Size of a typical football/US soccer field"	is	7140.0	sqmeter
802	"1 hectare, ha"	is	10000.0	sqmeter
803	"Base of the Great Pyramid of Giza"	is	53000.0	sqmeter
804	"Irish National Botanic Gardens"	is	190000.0	sqmeter
805	"Vatican City"	is	440000.0	sqmeter
806	"Total floor area of the Pentagon"	is	600000.0	sqmeter
807	"Monaco, country ranked 192nd by area"	is	2000000.0	sqmeter
