"x"	"name"	"area"
"http://rdf.freebase.com/ns/en.world_ocean"	"World Ocean"	361000000
"http://rdf.freebase.com/ns/en.ashes_scattered_in_the_pacific_ocean"	"Pacific Ocean"	165250000
"http://rdf.freebase.com/ns/en.world"	"World"	149000000
"http://rdf.freebase.com/ns/en.atlantic_ocean"	"Atlantic Ocean"	106400000
"http://rdf.freebase.com/ns/m.0n20gcj"	"xibei-location"	96000000
"http://rdf.freebase.com/ns/en.indian_ocean"	"Indian Ocean"	73556000
"http://rdf.freebase.com/ns/en.eurasia"	"Eurasia"	54759000
"http://rdf.freebase.com/ns/en.asia"	"Asia"	44579000
"http://rdf.freebase.com/ns/en.africa"	"Africa"	30221532
"http://rdf.freebase.com/ns/en.north_america"	"North America"	24709000
"http://rdf.freebase.com/ns/en.soviet_union"	"Soviet Union"	22402200
"http://rdf.freebase.com/ns/en.latin_america"	"Latin America"	21069501
"http://rdf.freebase.com/ns/en.southern_ocean"	"Southern Ocean"	20327000
"http://rdf.freebase.com/ns/en.south_america"	"South America"	17840000
"http://rdf.freebase.com/ns/en.russia"	"Russia"	17075400
"http://rdf.freebase.com/ns/en.arctic_ocean"	"Arctic Ocean"	14056000
"http://rdf.freebase.com/ns/en.antarctica"	"Antarctica"	14000000
"http://rdf.freebase.com/ns/en.europe"	"Europe"	10180000
"http://rdf.freebase.com/ns/en.canada"	"Canada"	9984670
"http://rdf.freebase.com/ns/en.united_states_of_america"	"United States of America"	9826675
"http://rdf.freebase.com/ns/en.china"	"China"	9706961
"http://rdf.freebase.com/ns/en.sahara"	"Sahara"	9400000
"http://rdf.freebase.com/ns/en.oceania"	"Oceania"	8525989
"http://rdf.freebase.com/ns/en.brazil"	"Brazil"	8515767.049000001
"http://rdf.freebase.com/ns/m.09pkq0"	"Australia"	8468300
"http://rdf.freebase.com/ns/en.australia"	"Australia"	7692024
"http://rdf.freebase.com/ns/en.amazon_basin"	"Amazon Basin"	6915000
"http://rdf.freebase.com/ns/en.far_eastern_federal_district"	"Far Eastern Federal District"	6215900
"http://rdf.freebase.com/ns/en.australian_antarctic_territory"	"Australian Antarctic Territory"	5896500
"http://rdf.freebase.com/ns/en.amazon_rainforest"	"Amazon rainforest"	5500000
"http://rdf.freebase.com/ns/en.ottoman_empire"	"Ottoman Empire"	5200000
"http://rdf.freebase.com/ns/en.brazilian_highlands"	"Brazilian Highlands"	5000000
"http://rdf.freebase.com/ns/en.coral_sea"	"Coral Sea"	4791000
"http://rdf.freebase.com/ns/en.sahara_desert"	"Sahara Desert"	4619260
"http://rdf.freebase.com/ns/en.hudson_bay"	"Hudson Bay"	4041400
"http://rdf.freebase.com/ns/en.north_region_brazil"	"North Region, Brazil"	3869637.9
"http://rdf.freebase.com/ns/en.south_china_sea"	"South China Sea"	3500000
"http://rdf.freebase.com/ns/en.andes"	"Andes"	3370794
"http://rdf.freebase.com/ns/en.grahamstown"	"Grahamstown"	3333344
"http://rdf.freebase.com/ns/en.india"	"India"	3287263
"http://rdf.freebase.com/ns/en.sakha_republic"	"Sakha Republic"	3083523
"http://rdf.freebase.com/ns/en.sahel"	"Sahel"	3053200
"http://rdf.freebase.com/ns/en.riobamba"	"Riobamba"	2900000
"http://rdf.freebase.com/ns/en.argentina"	"Argentina"	2780400
