"x"	"name"	"relation"	"relation_name"	"value"
"http://rdf.freebase.com/ns/en.angola"	"Angola"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	18386847544
"http://rdf.freebase.com/ns/en.east_timor"	"Timor-Leste"	"http://rdf.freebase.com/ns/location.statistical_region.gni_per_capita_in_ppp_dollars"	"GNI per capita in PPP dollars"	2780
"http://rdf.freebase.com/ns/en.mexico"	"Mexico"	"http://rdf.freebase.com/ns/location.statistical_region.gni_per_capita_in_ppp_dollars"	"GNI per capita in PPP dollars"	10480
"http://rdf.freebase.com/ns/en.namibia"	"Namibia"	"http://rdf.freebase.com/ns/location.statistical_region.gni_per_capita_in_ppp_dollars"	"GNI per capita in PPP dollars"	6520
"http://rdf.freebase.com/ns/en.finland"	"Finland"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	82056580669
"http://rdf.freebase.com/ns/en.solomon_islands"	"Solomon Islands"	"http://rdf.freebase.com/ns/location.statistical_region.gni_per_capita_in_ppp_dollars"	"GNI per capita in PPP dollars"	2330
"http://rdf.freebase.com/ns/en.portugal"	"Portugal"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	253840943882
"http://rdf.freebase.com/ns/en.mexico"	"Mexico"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	598395468933
"http://rdf.freebase.com/ns/en.tunisia"	"Tunisia"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	59101516619
"http://rdf.freebase.com/ns/en.turkmenistan"	"Turkmenistan"	"http://rdf.freebase.com/ns/location.statistical_region.gni_per_capita_in_ppp_dollars"	"GNI per capita in PPP dollars"	2700
"http://rdf.freebase.com/ns/en.malta"	"Malta"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	7902826410
"http://rdf.freebase.com/ns/en.italy"	"Italy"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	1062713455170
"http://rdf.freebase.com/ns/en.singapore"	"Singapore"	"http://rdf.freebase.com/ns/location.statistical_region.gni_per_capita_in_ppp_dollars"	"GNI per capita in PPP dollars"	53280
"http://rdf.freebase.com/ns/en.paraguay"	"Paraguay"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	8757150693
"http://rdf.freebase.com/ns/en.antigua_and_barbuda"	"Antigua and Barbuda"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	1713906325
"http://rdf.freebase.com/ns/en.republic_of_the_congo"	"Congo"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	3077209623
"http://rdf.freebase.com/ns/en.mauritania"	"Mauritania"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	8280832915
"http://rdf.freebase.com/ns/en.egypt"	"Egypt"	"http://rdf.freebase.com/ns/location.statistical_region.diesel_price_liter"	"Diesel price (per liter)"	0.08
"http://rdf.freebase.com/ns/en.sudan"	"Sudan"	"http://rdf.freebase.com/ns/location.statistical_region.external_debt_stock"	"External debt stock"	16326143000
"http://rdf.freebase.com/ns/en.gabon"	"Gabon"	"http://rdf.freebase.com/ns/location.statistical_region.official_development_assistance"	"Official development assistance"	113090000
"http://rdf.freebase.com/ns/en.comoros"	"Comoros"	"http://rdf.freebase.com/ns/location.statistical_region.official_development_assistance"	"Official development assistance"	129740000
"http://rdf.freebase.com/ns/en.malaysia"	"Malaysia"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_real"	"GDP real"	51712040356
"http://rdf.freebase.com/ns/en.somalia"	"Somalia"	"http://rdf.freebase.com/ns/location.statistical_region.external_debt_stock"	"External debt stock"	2561329000
"http://rdf.freebase.com/ns/en.russia"	"Russia"	"http://rdf.freebase.com/ns/location.statistical_region.official_development_assistance"	"Official development assistance"	2308140000
"http://rdf.freebase.com/ns/en.paraguay"	"Paraguay"	"http://rdf.freebase.com/ns/location.statistical_region.external_debt_stock"	"External debt stock"	3041102000
"http://rdf.freebase.com/ns/en.guatemala"	"Guatemala"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_nominal_per_capita"	"GDP (nominal per capita)"	1697.15
"http://rdf.freebase.com/ns/en.saint_vincent_and_the_grenadines"	"Saint Vincent and the Grenadines"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_nominal_per_capita"	"GDP (nominal per capita)"	5070.4
"http://rdf.freebase.com/ns/en.the_bahamas"	"Bahamas"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_real"	"GDP real"	5197979060
"http://rdf.freebase.com/ns/en.united_states_of_america"	"United States of America"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_nominal_per_capita"	"GDP (nominal per capita)"	3107.94
"http://rdf.freebase.com/ns/en.argentina"	"Argentina"	"http://rdf.freebase.com/ns/location.statistical_region.external_debt_stock"	"External debt stock"	161120874000
"http://rdf.freebase.com/ns/en.czech_republic"	"Czech Republic"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_nominal_per_capita"	"GDP (nominal per capita)"	18805.66
"http://rdf.freebase.com/ns/en.grenada"	"Grenada"	"http://rdf.freebase.com/ns/location.statistical_region.official_development_assistance"	"Official development assistance"	29670000
"http://rdf.freebase.com/ns/en.guatemala"	"Guatemala"	"http://rdf.freebase.com/ns/location.statistical_region.external_debt_stock"	"External debt stock"	2910263000
"http://rdf.freebase.com/ns/en.swaziland"	"Swaziland"	"http://rdf.freebase.com/ns/location.statistical_region.official_development_assistance"	"Official development assistance"	54420000
