value	unit	type	sentence_id	doc_char_begin	doc_char_end	token_begin	token_end
1.7E9	US$	money	130821	3950	3964	10	12
1000000.0	US$	money	771333	2669	2679	3	5
300000.0	US$	money	339717	408	416	24	25
21.11	US$	money	1092613	2380	2386	7	8
1.55E10	US$	money	158213	1035	1048	13	15
7.6E8	US$	money	1347589	2849	2861	21	23
3.0E9	US$	money	1347589	2888	2898	28	30
24.0	US$	money	797701	2735	2738	8	9
147.27	US$	money	797701	2780	2787	18	19
1.55E10	US$	money	1429253	167	180	3	5
4.6E8	US$	money	1453573	930	944	28	30
7.915E8	US$	money	41733	664	680	31	33
41.56	US$	money	44805	3047	3055	25	26
3.44	US$	money	378885	2674	2681	13	14
3.0567	US$	money	378885	2745	2754	28	29
2.5E8	US$	money	370437	1791	1803	11	13
3.8E7	US$	money	371461	2235	2246	6	8
1.6E7	US$	money	371461	2325	2336	21	23
9400000.0	US$	money	498949	1283	1296	24	26
1.95E8	US$	money	367877	624	636	17	19
1.61E8	US$	money	367877	700	712	35	37
9.11	US$	money	379141	2802	2809	8	9
1000.0	US$	money	520965	334	340	10	11
6.9E7	US$	money	464645	787	800	10	12
2.07E10	US$	money	128005	1695	1710	26	28
6.0E9	US$	money	128005	1738	1750	35	37
2.71	US$	money	755205	493	498	6	7
126.79	US$	money	755205	502	509	9	10
128.6	US$	money	755205	579	586	23	24
3.3E9	US$	money	317189	1212	1226	18	20
1000.0	US$	money	1217029	359	365	11	12
2.01E8	US$	money	1894405	5034	5048	10	12
1.3E9	US$	money	925189	1075	1087	4	6
1.66E8	US$	money	44549	2854	2868	11	13
1.411E10	US$	money	59909	765	779	18	20
1.875E8	US$	money	371973	2712	2726	23	25
6.72	US$	money	534533	3041	3048	22	23
3.0	US$	money	754949	298	300	5	6
1000.0	US$	money	868101	173	179	3	4
1.5E9	US$	money	46597	4430	4444	21	23
8.8E7	US$	money	638213	616	627	17	19
4.8E7	US$	money	529925	379	392	19	21
2.28E10	US$	money	41989	867	882	15	17
1.55E10	US$	money	519429	476	489	4	6
4.2E9	US$	money	531461	1358	1372	13	15
8.04E10	US$	money	531461	1398	1413	22	24
123.23	US$	money	375045	854	863	12	13
23.0	US$	money	377093	1816	1821	8	9
147.27	US$	money	377093	1863	1872	18	19
1000.0	US$	money	542213	4114	4120	15	16
1.557	US$	money	555525	4629	4638	5	6
1.5588	US$	money	555525	4654	4663	10	11
84.55	US$	money	161797	2414	2420	7	8
128.0	US$	money	1384709	528	532	16	17
7.525E10	US$	money	1396997	2025	2039	15	17
18.87	US$	money	664581	1885	1891	11	12
3.5215	US$	money	799237	3533	3540	13	14
9.349	US$	money	799237	3594	3600	25	26
1.1E7	US$	money	1901829	2699	2712	7	9
20000.0	US$	money	339973	542	549	21	22
1.55E10	US$	money	1000965	2529	2542	5	7
4.8E9	US$	money	1344261	489	501	39	41
5.0E7	US$	money	2811397	1515	1528	9	11
4.25E7	US$	money	2811397	1576	1591	21	23
2.01E8	US$	money	1980933	2596	2610	10	12
1.79E11	US$	money	1028357	1892	1904	17	19
