"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.id","Input.taskids","Input.prompts","Input.zs","Answer.id","Answer.prompts","Answer.responses","Answer.submit","Answer.taskids","Answer.zs","Approve","Reject"
"344M16OZKI97NR6F0HGPNTLIMSYEN0","3H2ZGQZOTY3UUHASWHL8CEXP4YQYX0","Describe a numeric expression in English","In each part of this task, you will be given an expression that describes a number as the multiplication of a few other facts and you must describe the expression in English.","english, description","$0.15","Tue Feb 16 01:24:28 PST 2016","3","BatchId:2271003;","3600","57600","Thu Feb 18 01:24:28 PST 2016","","","3RU7GD8VPPNBMFL37UIN4JPBBYEPS8","A2Z5S0IBBPVS0M","Submitted","Tue Feb 16 04:39:47 PST 2016","Tue Feb 16 04:41:40 PST 2016","Tue Feb 16 20:41:40 PST 2016","","","","113","0% (0/0)","0% (0/0)","0% (0/0)","8","1236	1766	1671	1467	1487","762 guns &asymp; <u>1</u> &times; <u>number of guns produced in the us</u> (6 million guns per year) &times; <u>time taken for a basketball game</u> (60 minutes)	56 kilograms &asymp; <u>1/4</u> &times; <u>wieght of a person</u> (185 pounds per person) &times; <u>average household size</u> (3 people)	560 thousand meters &asymp; <u>4</u> &times; <u>highway speed</u> (65 miles per hour) &times; <u>time taken for a soccer game</u> (90 minutes)	8 thousand meters &asymp; <u>2</u> &times; <u>walking speed</u> (3 miles per hour) &times; <u>time taken for a basketball game</u> (60 minutes)	0.54 meters &asymp; <u>4</u> &times; <u>walking speed</u> (3 miles per hour) &times; <u>time taken to blink</u> (100 milliseconds)","762 guns	56 kilograms	560 thousand meters	8 thousand meters	0.54 meters","8","762 guns ≈ <u>1</u> × <u>number of guns produced in the us</u> (6 million guns per year) × <u>time taken for a basketball game</u> (60 minutes)	56 kilograms ≈ <u>1/4</u> × <u>wieght of a person</u> (185 pounds per person) × <u>average household size</u> (3 people)	560 thousand meters ≈ <u>4</u> × <u>highway speed</u> (65 miles per hour) × <u>time taken for a soccer game</u> (90 minutes)	8 thousand meters ≈ <u>2</u> × <u>walking speed</u> (3 miles per hour) × <u>time taken for a basketball game</u> (60 minutes)	0.54 meters ≈ <u>4</u> × <u>walking speed</u> (3 miles per hour) × <u>time taken to blink</u> (100 milliseconds)","the number of guns produced in the US during a basketball game	a fourth the weight of an average household	four times how far you can go on the highway during a soccer game	twice as far as you can walk during a basketball game	four times how far you can walk during a blink","Submit","1236	1766	1671	1467	1487","762 guns	56 kilograms	560 thousand meters	8 thousand meters	0.54 meters"
"344M16OZKI97NR6F0HGPNTLIMSYEN0","3H2ZGQZOTY3UUHASWHL8CEXP4YQYX0","Describe a numeric expression in English","In each part of this task, you will be given an expression that describes a number as the multiplication of a few other facts and you must describe the expression in English.","english, description","$0.15","Tue Feb 16 01:24:28 PST 2016","3","BatchId:2271003;","3600","57600","Thu Feb 18 01:24:28 PST 2016","","","3SNLUL3WO5H1A7Y947KG23YFRL3UL0","AURYD2FH3FUOQ","Submitted","Tue Feb 16 06:30:31 PST 2016","Tue Feb 16 06:58:51 PST 2016","Tue Feb 16 22:58:51 PST 2016","","","","1700","100% (3/3)","100% (3/3)","100% (1/1)","8","1236	1766	1671	1467	1487","762 guns &asymp; <u>1</u> &times; <u>number of guns produced in the us</u> (6 million guns per year) &times; <u>time taken for a basketball game</u> (60 minutes)	56 kilograms &asymp; <u>1/4</u> &times; <u>wieght of a person</u> (185 pounds per person) &times; <u>average household size</u> (3 people)	560 thousand meters &asymp; <u>4</u> &times; <u>highway speed</u> (65 miles per hour) &times; <u>time taken for a soccer game</u> (90 minutes)	8 thousand meters &asymp; <u>2</u> &times; <u>walking speed</u> (3 miles per hour) &times; <u>time taken for a basketball game</u> (60 minutes)	0.54 meters &asymp; <u>4</u> &times; <u>walking speed</u> (3 miles per hour) &times; <u>time taken to blink</u> (100 milliseconds)","762 guns	56 kilograms	560 thousand meters	8 thousand meters	0.54 meters","8","762 guns ≈ <u>1</u> × <u>number of guns produced in the us</u> (6 million guns per year) × <u>time taken for a basketball game</u> (60 minutes)	56 kilograms ≈ <u>1/4</u> × <u>wieght of a person</u> (185 pounds per person) × <u>average household size</u> (3 people)	560 thousand meters ≈ <u>4</u> × <u>highway speed</u> (65 miles per hour) × <u>time taken for a soccer game</u> (90 minutes)	8 thousand meters ≈ <u>2</u> × <u>walking speed</u> (3 miles per hour) × <u>time taken for a basketball game</u> (60 minutes)	0.54 meters ≈ <u>4</u> × <u>walking speed</u> (3 miles per hour) × <u>time taken to blink</u> (100 milliseconds)","the number of guns produced in the US during a basketball game	the weight of the people in an average household	the total distance traveled by 4 cars on the highway during a soccer game	the distance a person can walk during two basketball games	the distance a person can walk during 4 blinks","Submit","1236	1766	1671	1467	1487","762 guns	56 kilograms	560 thousand meters	8 thousand meters	0.54 meters"
"344M16OZKI97NR6F0HGPNTLIMSYEN0","3H2ZGQZOTY3UUHASWHL8CEXP4YQYX0","Describe a numeric expression in English","In each part of this task, you will be given an expression that describes a number as the multiplication of a few other facts and you must describe the expression in English.","english, description","$0.15","Tue Feb 16 01:24:28 PST 2016","3","BatchId:2271003;","3600","57600","Thu Feb 18 01:24:28 PST 2016","","","3SUWZRL0MZ722QYGR3Z992UFF2JE6U","A1Q4SC058G98XE","Submitted","Tue Feb 16 05:53:08 PST 2016","Tue Feb 16 05:59:25 PST 2016","Tue Feb 16 21:59:25 PST 2016","","","","377","100% (11/11)","100% (11/11)","100% (11/11)","8","1236	1766	1671	1467	1487","762 guns &asymp; <u>1</u> &times; <u>number of guns produced in the us</u> (6 million guns per year) &times; <u>time taken for a basketball game</u> (60 minutes)	56 kilograms &asymp; <u>1/4</u> &times; <u>wieght of a person</u> (185 pounds per person) &times; <u>average household size</u> (3 people)	560 thousand meters &asymp; <u>4</u> &times; <u>highway speed</u> (65 miles per hour) &times; <u>time taken for a soccer game</u> (90 minutes)	8 thousand meters &asymp; <u>2</u> &times; <u>walking speed</u> (3 miles per hour) &times; <u>time taken for a basketball game</u> (60 minutes)	0.54 meters &asymp; <u>4</u> &times; <u>walking speed</u> (3 miles per hour) &times; <u>time taken to blink</u> (100 milliseconds)","762 guns	56 kilograms	560 thousand meters	8 thousand meters	0.54 meters","8","762 guns ≈ <u>1</u> × <u>number of guns produced in the us</u> (6 million guns per year) × <u>time taken for a basketball game</u> (60 minutes)	56 kilograms ≈ <u>1/4</u> × <u>wieght of a person</u> (185 pounds per person) × <u>average household size</u> (3 people)	560 thousand meters ≈ <u>4</u> × <u>highway speed</u> (65 miles per hour) × <u>time taken for a soccer game</u> (90 minutes)	8 thousand meters ≈ <u>2</u> × <u>walking speed</u> (3 miles per hour) × <u>time taken for a basketball game</u> (60 minutes)	0.54 meters ≈ <u>4</u> × <u>walking speed</u> (3 miles per hour) × <u>time taken to blink</u> (100 milliseconds)","the number of guns produced in the U.S. during the time it takes for a basketball game.	1/4th the weight of the average household.	the distance traveled at 65 mph in the time it takes for 4 soccer games.	the distance you could cover walking 3 mph for the time taken for 2 basketball games.	the distance you could walk at 3mph in the time it takes to blink 4 times.","Submit","1236	1766	1671	1467	1487","762 guns	56 kilograms	560 thousand meters	8 thousand meters	0.54 meters"
"34HEO7RUG6OPCCHVDJVK0U012AORA5","3H2ZGQZOTY3UUHASWHL8CEXP4YQYX0","Describe a numeric expression in English","In each part of this task, you will be given an expression that describes a number as the multiplication of a few other facts and you must describe the expression in English.","english, description","$0.15","Tue Feb 16 01:24:27 PST 2016","3","BatchId:2271003;","3600","57600","Thu Feb 18 01:24:27 PST 2016","","","3NVC2EB65RT1BCSP82D592ABNNK3YQ","A2Z5S0IBBPVS0M","Submitted","Tue Feb 16 04:41:41 PST 2016","Tue Feb 16 04:43:40 PST 2016","Tue Feb 16 20:43:40 PST 2016","","","","119","0% (0/0)","0% (0/0)","0% (0/0)","2","1775	1289	1654	1459	1546","3 million kilograms &asymp; <u>1/2</u> &times; <u>wieght of a person</u> (185 pounds per person) &times; <u>number of employees at Google</u> (57 thousand people)	20 guns &asymp; <u>10</u> &times; <u>gun ownership</u> (2 guns per person) &times; <u>a person</u> (1 people)	14 USD &asymp; <u>1/10</u> &times; <u>median income</u> (52 thousand USD per year) &times; <u>a day</u> (1 days)	300 thousand USD &asymp; <u>1/2</u> &times; <u>median income</u> (52 thousand USD per year) &times; <u>average lifetime for a dog</u> (12 years)	16 trillion USD &asymp; <u>4</u> &times; <u>the construction cost of The Cosmopolitan in Las Vegas</u> (4 trillion USD)","3 million kilograms	20 guns	14 USD	300 thousand USD	16 trillion USD","2","3 million kilograms ≈ <u>1/2</u> × <u>wieght of a person</u> (185 pounds per person) × <u>number of employees at Google</u> (57 thousand people)	20 guns ≈ <u>10</u> × <u>gun ownership</u> (2 guns per person) × <u>a person</u> (1 people)	14 USD ≈ <u>1/10</u> × <u>median income</u> (52 thousand USD per year) × <u>a day</u> (1 days)	300 thousand USD ≈ <u>1/2</u> × <u>median income</u> (52 thousand USD per year) × <u>average lifetime for a dog</u> (12 years)	16 trillion USD ≈ <u>4</u> × <u>the construction cost of The Cosmopolitan in Las Vegas</u> (4 trillion USD)","half the total weight of all the employees at Google	ten times the amount of guns each person owns	a tenth the median income in a day	half the median income over the average dog's lifespan	four times the construction cost of The Cosmopolitan in Las Vegas","Submit","1775	1289	1654	1459	1546","3 million kilograms	20 guns	14 USD	300 thousand USD	16 trillion USD"
"34HEO7RUG6OPCCHVDJVK0U012AORA5","3H2ZGQZOTY3UUHASWHL8CEXP4YQYX0","Describe a numeric expression in English","In each part of this task, you will be given an expression that describes a number as the multiplication of a few other facts and you must describe the expression in English.","english, description","$0.15","Tue Feb 16 01:24:27 PST 2016","3","BatchId:2271003;","3600","57600","Thu Feb 18 01:24:27 PST 2016","","","3OCHAWUVGPEI75AMOCJ27AK4W34XKH","A2HYLKWATO2S20","Submitted","Tue Feb 16 02:05:14 PST 2016","Tue Feb 16 02:16:43 PST 2016","Tue Feb 16 18:16:43 PST 2016","","","","689","0% (0/0)","0% (0/0)","0% (0/0)","2","1775	1289	1654	1459	1546","3 million kilograms &asymp; <u>1/2</u> &times; <u>wieght of a person</u> (185 pounds per person) &times; <u>number of employees at Google</u> (57 thousand people)	20 guns &asymp; <u>10</u> &times; <u>gun ownership</u> (2 guns per person) &times; <u>a person</u> (1 people)	14 USD &asymp; <u>1/10</u> &times; <u>median income</u> (52 thousand USD per year) &times; <u>a day</u> (1 days)	300 thousand USD &asymp; <u>1/2</u> &times; <u>median income</u> (52 thousand USD per year) &times; <u>average lifetime for a dog</u> (12 years)	16 trillion USD &asymp; <u>4</u> &times; <u>the construction cost of The Cosmopolitan in Las Vegas</u> (4 trillion USD)","3 million kilograms	20 guns	14 USD	300 thousand USD	16 trillion USD","2","3 million kilograms ≈ <u>1/2</u> × <u>wieght of a person</u> (185 pounds per person) × <u>number of employees at Google</u> (57 thousand people)	20 guns ≈ <u>10</u> × <u>gun ownership</u> (2 guns per person) × <u>a person</u> (1 people)	14 USD ≈ <u>1/10</u> × <u>median income</u> (52 thousand USD per year) × <u>a day</u> (1 days)	300 thousand USD ≈ <u>1/2</u> × <u>median income</u> (52 thousand USD per year) × <u>average lifetime for a dog</u> (12 years)	16 trillion USD ≈ <u>4</u> × <u>the construction cost of The Cosmopolitan in Las Vegas</u> (4 trillion USD)","the same total weight as half of the employees at Google.	10 times the number of guns owned by one person.	10 percent of the average daily income.	one half of the average income a person could make over the life of a dog.	four times the cost of building  The Cosmopolitan Resort in LV.....(this data set is not correct)","Submit","1775	1289	1654	1459	1546","3 million kilograms	20 guns	14 USD	300 thousand USD	16 trillion USD"
"34HEO7RUG6OPCCHVDJVK0U012AORA5","3H2ZGQZOTY3UUHASWHL8CEXP4YQYX0","Describe a numeric expression in English","In each part of this task, you will be given an expression that describes a number as the multiplication of a few other facts and you must describe the expression in English.","english, description","$0.15","Tue Feb 16 01:24:27 PST 2016","3","BatchId:2271003;","3600","57600","Thu Feb 18 01:24:27 PST 2016","","","3Z7EFSHGNA80O7YYWZ24JR7WRU7CXV","A1Q4SC058G98XE","Submitted","Tue Feb 16 06:22:54 PST 2016","Tue Feb 16 06:26:55 PST 2016","Tue Feb 16 22:26:55 PST 2016","","","","241","100% (11/11)","100% (11/11)","100% (11/11)","2","1775	1289	1654	1459	1546","3 million kilograms &asymp; <u>1/2</u> &times; <u>wieght of a person</u> (185 pounds per person) &times; <u>number of employees at Google</u> (57 thousand people)	20 guns &asymp; <u>10</u> &times; <u>gun ownership</u> (2 guns per person) &times; <u>a person</u> (1 people)	14 USD &asymp; <u>1/10</u> &times; <u>median income</u> (52 thousand USD per year) &times; <u>a day</u> (1 days)	300 thousand USD &asymp; <u>1/2</u> &times; <u>median income</u> (52 thousand USD per year) &times; <u>average lifetime for a dog</u> (12 years)	16 trillion USD &asymp; <u>4</u> &times; <u>the construction cost of The Cosmopolitan in Las Vegas</u> (4 trillion USD)","3 million kilograms	20 guns	14 USD	300 thousand USD	16 trillion USD","2","3 million kilograms ≈ <u>1/2</u> × <u>wieght of a person</u> (185 pounds per person) × <u>number of employees at Google</u> (57 thousand people)	20 guns ≈ <u>10</u> × <u>gun ownership</u> (2 guns per person) × <u>a person</u> (1 people)	14 USD ≈ <u>1/10</u> × <u>median income</u> (52 thousand USD per year) × <u>a day</u> (1 days)	300 thousand USD ≈ <u>1/2</u> × <u>median income</u> (52 thousand USD per year) × <u>average lifetime for a dog</u> (12 years)	16 trillion USD ≈ <u>4</u> × <u>the construction cost of The Cosmopolitan in Las Vegas</u> (4 trillion USD)","the combined weight of half of the employees at Google.	the average number of guns owned by 10 people.	the median income earned in 1/10th of a day or in 2.4 hours.	the median a person could earn in half of a dog's average lifetime.	quadruple the cost of The Cosmopolitan in Las Vegas.","Submit","1775	1289	1654	1459	1546","3 million kilograms	20 guns	14 USD	300 thousand USD	16 trillion USD"
"34O39PNDK62UVMMNJXVGV5K7KS9RB0","3H2ZGQZOTY3UUHASWHL8CEXP4YQYX0","Describe a numeric expression in English","In each part of this task, you will be given an expression that describes a number as the multiplication of a few other facts and you must describe the expression in English.","english, description","$0.15","Tue Feb 16 01:24:28 PST 2016","3","BatchId:2271003;","3600","57600","Thu Feb 18 01:24:28 PST 2016","","","3A9AA95ATXGAGDNSVY5FB8FJXE75PN","A2Z5S0IBBPVS0M","Submitted","Tue Feb 16 04:36:12 PST 2016","Tue Feb 16 04:39:46 PST 2016","Tue Feb 16 20:39:46 PST 2016","","","","214","0% (0/0)","0% (0/0)","0% (0/0)","5","1329	1517	1466	1826	1340","17 people &asymp; <u>1/9</u> &times; <u>death rate in the US</u> (3 million people per year) &times; <u>time taken for lunch</u> (30 minutes)	3 trillion USD &asymp; <u>1</u> &times; <u>the construction cost of Bellagio in Las Vegas</u> (2 trillion USD)	8 thousand meters &asymp; <u>1/1</u> &times; <u>distance from Stanford to Mountain View</u> (6 miles)	9 kilograms &asymp; <u>1/9</u> &times; <u>wieght of a person</u> (185 pounds per person) &times; <u>a person</u> (1 people)	23 people &asymp; <u>1/10</u> &times; <u>birth rate in the US</u> (4 million people per year) &times; <u>time taken for lunch</u> (30 minutes)","17 people	3 trillion USD	8 thousand meters	9 kilograms	23 people","5","17 people ≈ <u>1/9</u> × <u>death rate in the US</u> (3 million people per year) × <u>time taken for lunch</u> (30 minutes)	3 trillion USD ≈ <u>1</u> × <u>the construction cost of Bellagio in Las Vegas</u> (2 trillion USD)	8 thousand meters ≈ <u>1/1</u> × <u>distance from Stanford to Mountain View</u> (6 miles)	9 kilograms ≈ <u>1/9</u> × <u>wieght of a person</u> (185 pounds per person) × <u>a person</u> (1 people)	23 people ≈ <u>1/10</u> × <u>birth rate in the US</u> (4 million people per year) × <u>time taken for lunch</u> (30 minutes)","a ninth the death rate in the US during a typical lunch break	the constructions cost of the Bellagio in Las Vegas	the distance from Stanford to Mountain View	a ninth the weight of a person	a tenth the birth rate during a typical lunch break","Submit","1329	1517	1466	1826	1340","17 people	3 trillion USD	8 thousand meters	9 kilograms	23 people"
"34O39PNDK62UVMMNJXVGV5K7KS9RB0","3H2ZGQZOTY3UUHASWHL8CEXP4YQYX0","Describe a numeric expression in English","In each part of this task, you will be given an expression that describes a number as the multiplication of a few other facts and you must describe the expression in English.","english, description","$0.15","Tue Feb 16 01:24:28 PST 2016","3","BatchId:2271003;","3600","57600","Thu Feb 18 01:24:28 PST 2016","","","3FE2ERCCZY2WONTA0D1EKEFAE9KPOK","A1F48KQEBOLPUW","Submitted","Tue Feb 16 07:43:24 PST 2016","Tue Feb 16 07:47:54 PST 2016","Tue Feb 16 23:47:54 PST 2016","","","","270","100% (83/83)","100% (48/48)","100% (6/6)","5","1329	1517	1466	1826	1340","17 people &asymp; <u>1/9</u> &times; <u>death rate in the US</u> (3 million people per year) &times; <u>time taken for lunch</u> (30 minutes)	3 trillion USD &asymp; <u>1</u> &times; <u>the construction cost of Bellagio in Las Vegas</u> (2 trillion USD)	8 thousand meters &asymp; <u>1/1</u> &times; <u>distance from Stanford to Mountain View</u> (6 miles)	9 kilograms &asymp; <u>1/9</u> &times; <u>wieght of a person</u> (185 pounds per person) &times; <u>a person</u> (1 people)	23 people &asymp; <u>1/10</u> &times; <u>birth rate in the US</u> (4 million people per year) &times; <u>time taken for lunch</u> (30 minutes)","17 people	3 trillion USD	8 thousand meters	9 kilograms	23 people","5","17 people ≈ <u>1/9</u> × <u>death rate in the US</u> (3 million people per year) × <u>time taken for lunch</u> (30 minutes)	3 trillion USD ≈ <u>1</u> × <u>the construction cost of Bellagio in Las Vegas</u> (2 trillion USD)	8 thousand meters ≈ <u>1/1</u> × <u>distance from Stanford to Mountain View</u> (6 miles)	9 kilograms ≈ <u>1/9</u> × <u>wieght of a person</u> (185 pounds per person) × <u>a person</u> (1 people)	23 people ≈ <u>1/10</u> × <u>birth rate in the US</u> (4 million people per year) × <u>time taken for lunch</u> (30 minutes)","the number of people who die during a typical lunch divided by nine.	the cost of constructing the Bellagio in Las Vegas.	the distance from Mountain View to Stanford.	one ninth the weight of the average person.	the number of people born in the typical lunch divided by ten.","Submit","1329	1517	1466	1826	1340","17 people	3 trillion USD	8 thousand meters	9 kilograms	23 people"
"34O39PNDK62UVMMNJXVGV5K7KS9RB0","3H2ZGQZOTY3UUHASWHL8CEXP4YQYX0","Describe a numeric expression in English","In each part of this task, you will be given an expression that describes a number as the multiplication of a few other facts and you must describe the expression in English.","english, description","$0.15","Tue Feb 16 01:24:28 PST 2016","3","BatchId:2271003;","3600","57600","Thu Feb 18 01:24:28 PST 2016","","","3TS1AR6UQR8DC4CH5OO7XYFBMEK7F6","A1Q4SC058G98XE","Submitted","Tue Feb 16 06:17:53 PST 2016","Tue Feb 16 06:22:51 PST 2016","Tue Feb 16 22:22:51 PST 2016","","","","298","100% (11/11)","100% (11/11)","100% (11/11)","5","1329	1517	1466	1826	1340","17 people &asymp; <u>1/9</u> &times; <u>death rate in the US</u> (3 million people per year) &times; <u>time taken for lunch</u> (30 minutes)	3 trillion USD &asymp; <u>1</u> &times; <u>the construction cost of Bellagio in Las Vegas</u> (2 trillion USD)	8 thousand meters &asymp; <u>1/1</u> &times; <u>distance from Stanford to Mountain View</u> (6 miles)	9 kilograms &asymp; <u>1/9</u> &times; <u>wieght of a person</u> (185 pounds per person) &times; <u>a person</u> (1 people)	23 people &asymp; <u>1/10</u> &times; <u>birth rate in the US</u> (4 million people per year) &times; <u>time taken for lunch</u> (30 minutes)","17 people	3 trillion USD	8 thousand meters	9 kilograms	23 people","5","17 people ≈ <u>1/9</u> × <u>death rate in the US</u> (3 million people per year) × <u>time taken for lunch</u> (30 minutes)	3 trillion USD ≈ <u>1</u> × <u>the construction cost of Bellagio in Las Vegas</u> (2 trillion USD)	8 thousand meters ≈ <u>1/1</u> × <u>distance from Stanford to Mountain View</u> (6 miles)	9 kilograms ≈ <u>1/9</u> × <u>wieght of a person</u> (185 pounds per person) × <u>a person</u> (1 people)	23 people ≈ <u>1/10</u> × <u>birth rate in the US</u> (4 million people per year) × <u>time taken for lunch</u> (30 minutes)","the number of people who die in the U.S. in the time it takes for one-ninth of a lunch time.	the cost of construction of Bellagio in Las Vegas.	the distance from Stanford to Mountain View.	one-ninth the weight of the average person.	the number of births in the U.S. every 3 minutes.","Submit","1329	1517	1466	1826	1340","17 people	3 trillion USD	8 thousand meters	9 kilograms	23 people"
"39I4RL8QGJBXLTNB8D9Z9NCVNRV4HB","3H2ZGQZOTY3UUHASWHL8CEXP4YQYX0","Describe a numeric expression in English","In each part of this task, you will be given an expression that describes a number as the multiplication of a few other facts and you must describe the expression in English.","english, description","$0.15","Tue Feb 16 01:24:28 PST 2016","3","BatchId:2271003;","3600","57600","Thu Feb 18 01:24:28 PST 2016","","","386CSBG1O0GRZTOL0UU93JJTY5CQ6N","A1F48KQEBOLPUW","Submitted","Tue Feb 16 07:48:05 PST 2016","Tue Feb 16 07:51:22 PST 2016","Tue Feb 16 23:51:22 PST 2016","","","","197","100% (83/83)","100% (48/48)","100% (6/6)","7","1314	1327	1723	1256	1520","70 thousand people &asymp; <u>5</u> &times; <u>global death rate</u> (6 million people per year) &times; <u>a day</u> (1 days)	17 people &asymp; <u>3</u> &times; <u>death rate in the US</u> (3 million people per year) &times; <u>a minute</u> (1 minutes)	338 thousand meters &asymp; <u>3</u> &times; <u>walking speed</u> (3 miles per hour) &times; <u>a day</u> (1 days)	100 people &asymp; <u>1</u> &times; <u>average number of employees in a grocery store</u> (72 people)	3 trillion USD &asymp; <u>700</u> &times; <u>median income</u> (52 thousand USD per year) &times; <u>average lifetime for a person</u> (79 years)","70 thousand people	17 people	338 thousand meters	100 people	3 trillion USD","7","70 thousand people ≈ <u>5</u> × <u>global death rate</u> (6 million people per year) × <u>a day</u> (1 days)	17 people ≈ <u>3</u> × <u>death rate in the US</u> (3 million people per year) × <u>a minute</u> (1 minutes)	338 thousand meters ≈ <u>3</u> × <u>walking speed</u> (3 miles per hour) × <u>a day</u> (1 days)	100 people ≈ <u>1</u> × <u>average number of employees in a grocery store</u> (72 people)	3 trillion USD ≈ <u>700</u> × <u>median income</u> (52 thousand USD per year) × <u>average lifetime for a person</u> (79 years)","the number of people who die in the world five days	the number of people who die in the US in three minutes	the typical distance a person could walk for three days if they took no breaks and didn't sleep	the number of employees in a typical grocery store	the income seven hundred person would earn if they earned their median income every year of their life","Submit","1314	1327	1723	1256	1520","70 thousand people	17 people	338 thousand meters	100 people	3 trillion USD"
