1/8 the amount of coffee consumed by the employees at Yelp in the time it takes to blink	one eighth the coffee consumption by the number of employees at Yelp in the time taken to blink	1/8th the coffee consumed by the entire staff of Yelp in the time it takes to blink	an eighth the volume of coffee consumed by the entire set of employees at Yelp in the time it takes to blink	1/8th the coffee consumed by all Yelp employees over a period equal to the blink of an eye	1/8th the coffee consumed by Yelp employees in the time it takes to blink	1/8 the amount of coffee drank by the entire Yelp workforce in the time it takes to blink
twice the cost of employing the staff of an average grocery store for the average lifetime of a person	2 times the cost on the average number of employees in a grocery store for a dogs lifetime	twice the cost of the average number of employees in a grocery store during the average lifetime for a dog	double the wages paid for a typical grocery store's entire staff over the span of a dog's lifetime	2 times the employee cost during a dog's life by all the staff of a grocery store	twice what it costs to employ the average number of employees in a grocery store for the duration of a dog's life	twice the amount the all the employees of a grocery store earn over the lifetime of a dog
one fourth the cost of the number of employees at Yelp in the time taken for a blink	one quarter the cost of employing the entire staff of Yelp for the time it takes to play a game of soccer	one fourth the cost of the number of employees at Yelp in the time taken for a soccer game	one fourth the cost of the number of employees at Yelp for the time taken for a soccer game	1/4 the cost of an employee at Yelp during the time taken for a soccer game	the cost for a quarter of the employees at Yelp during the time it take to play a soccer game	1/4th the amount of money earned by all Yelp employees during a soccer game
1/20 the cost of the number of employees on Medicare in the time taken for lunch	1/20th the amount of cost to employ the number of employees on Medicare in California during the duration of lunch	1/20th of the cost of employing the number of workers on Medicare in California for the time it takes to have lunch	1/20 the cost of the employees on Medicare in California in the time taken for lunch	1/20th the cost of employing all of the employees on Medicare in California for the time it takes to have lunch	one-twentieth of how much it costs a business to have an employee	1/20 the cost of the number of employees on Medicare in California over lunch
70 times the weight of a Chihuahua	70 times the area of a parking space	seventy times the size of a parking space	seventy times the area of a parking space	the area of 70 parking spaces	980 sq meters	70 times the size of a parking space
1/3 the trash generated in the US by the number of employees in the manufacturing industry in the time taken for a football game	one third the trash generated in the US by the number of employees in the manufacturing industry over the length of a football game	1/3rd the amount of trash produced by US manufacturing industry employees during a football game	a third of the trash generated by American manufacturing industry employees in the time it takes to watch a football game	1/3rd of the weight of garbage produced in the United States by every worker in manufacturing put together during a football game	1/3 the trash generated by employess of the manufacutring industry int he time it takes to play a football game	1/3 the amount of trash generated in the US during a football game by the people employed in the manufacturing industry
1/20 of the cost of employing the number of employees at Yelp in the time taken for a work day	1/20 the cost of employing the number of employee at Yelp for the time taken for a work day	1/20 the cost of all the employees at Yelp over the length of a work day	1/20th the cost of an employee for the time taken for a work day times the number of employees at Yelp	1/20th of the cost of a Yelp Employee during a work day	1/20th the cost to employ workers at Yelp for a work day	1/20th of the cost of employing the staff of Yelp for a single work day	1/20 the amount of the cost of all employees at Yelp in a work day
30 times the cost of employing the number of employees in the economy in the time it takes to blink	30 times the cost of an employee times the number of employees in the economy in the time it takes to blink	30 times the cost of an employee in the economy industry during a blink	thirty times the cost of a all the employees in the economy over the time it takes to blink	30 times the amount of cost to employ the amount employees in the economy during the time it takes ti blink	30 times the cost to employ everyone in the economy in the time it takes to blink	30 times the employee cost in a blink of all the economy employees combined
1/20th of the weight of the employees at McKinsey	one twentith the weight of the number of employees at  Yelp	1/20 times a person's weight by all of the Yelp employees	one twentieth the weight of all the employees at Yelp	1/20th the weight of a person times the number of Yelp employees	1/20th the weight of all Yelp employees combined	one twentieth the weight of all the employees at Yelp
the cost of a new car times the cost of a laptop	the cost of a smartphone in terms of the price of a car	the cost of a smartphone	1/1 the amount it cost to buy a new car by the cost of a smartphone	the cost of a smart phone	one to one ratio of cost of a new car to cost of a smartphone	the price of a smartphone as measured in new cars	the average cost of a new car and the cost of a smartphone
twice the trash generated in the US by the number of employees on Medicare in the time taken for a basketball game	two times the amount of trash generated by all of the employees on Medicare in California during a basketball game	twice the weight of the trash generated by all of the employees on Medicare in California in the time it takes to play a basketball game	twice the trash generated in the US by the number of employees on Medicare in California in the time taken for a basketball game	2 times the weight of garbage produced in the United States by the number of workers on Medicare in California over the course of a basketball game	2 times the trash generated by Medicare recipients in California in the time it takes to play a basketball game	two times the amount of trash generated by the employees on Medicare in California in the time it takes to play a basketball game
1/70 the amount of coffee consumed by the amount of people killed during the Iraq war in the time taken for a day	1/70th of the coffee consumption for the number of people killed during Iraq war in the duration of a soccer game	1/70 the weight of coffee consumed by people in the Iraq war during a soccer game	1/70 of the coffee consumed by the number of people killed during Iraq war in the time it takes to play a soccer game	1/70 the amount of coffee consumed by the total number of people killed during the Iraq war in the time it takes to play a soccer game	1/70 the coffee consumed by people killed in the Iraq war during a soccer game	1/70 times the coffee consumed during a soccer game by all the Iraq war victims
one fourth the death rate in the US during a blink	1/4th the number of people who die in the US during a soccer game	a quarter of the number of US deaths over a span equal to a soccer game	1/4th the US death rate in the duration of a soccer game	1/4 the number of people that die in the US during the length of a soccer game	1/4th the number of people who die in the US over the duration of a soccer game	1/4 the amount of people killed in the US during a soccer game	one fourth the death rate in the US in the time taken for a soccer game
one fifth of the number of dogs in the average lifespan of a person	a fifth the number of dogs in shelters during the lifetime of a dog	one fifth the number of dog shelters over the average lifetime for a dog	a fifth of the number of dogs in shelters over the lifetime of a dog	1/5th of the amount of dogs in shelters over the lifespan of an average dog	1/5th the number of dogs in shelters during 12 years	1/5th the total number of dogs in shelters over the course of a typical dog's lifetime
one fourth the cost of the number of employees in the economy in the time it takes to blink	one quarter of the cost of employing the total number of workers in the economy for the time it takes to blink	1/4th the cost of an employee in a blink of an for employees in the economy	1/4th the cost of an employee during the time taken to blink for the number of employees in the economy	1/4th the cost to employ the amount of employees in the economy during the time it takes to blink	1/4 the cost of an employee in the economy during the time taken to blink	1/4th the cost of employing everyone that works in the economy for the amount of time it takes to blink
one tenth the cost of the number of employees on Medicare in the time taken to blink	1/10th the amount of money earned by all Medicare employees in California in the time it takes to blink	a tenth the cost of all employees on Medicare in California for the blink of an eye	1/10th of the cost of wages earned in the blink of an eye by all the California workers on Medicare	1/10 the cost to employ California Medicare recipients in the time it takes to blink	1/10 the cost of all employees on Medicare in California in the time it takes to blink	1/10 the cost to employ the total number of employees on Medicare in California for the time it takes to blink
1/3 the amount of water in the US by the number of employees in the economy in one minute	one third the amount of water used in the US in one minute by all workers put together	one third the amount of water used by all of the employees in the economy in a minute	1/3rd the amount of water usage in the US made by the amount of economy employees every minute	one third the water usage in the US in one minute by the number of employees in the economy	1/3rd the total amount of water used in the US in one minute by everyone working in the economy	1/3rd of the water usage in the US by every employees in the economy each minute
50 times the cost of employing the staff of Yelp in one workday	50 times the cost of all employees at Yelp in a work day	50 times the cost to employ everyone at Yelp for one work day	50 times the cost to employ everyone at Yelp for a work day	fifty times the cost of all the employees at Yelp to work one day	cost of an employee	50 times the cost of paying 300 people during 8 hours
5 times the coffee consumption in a week by the number of employees in the manufacturing industry	5 times the amount of coffee consumed per week by all the employees of the manufacturing industry	5 times the amount of coffee consumed by all of the employees in the manufacturing industry put together in a week	5 times the amount of coffee consumed by manufacturing employees in a week	five times the coffee consumed by all employees in the manufacturing industry in a week	five times the coffee consumed in a week by the employees in the manufacturing industry	five times the weekly coffee consumption by the number of employees in the manufacturing industry	the coffee consumed by manufacturing industry employees for five weeks
1/90th the amount of coffee consumed by the employees at Yelp during a football game	1/90 of the coffee consumed by Yelp employees during a football game	1/90th of the amount of coffee consumed by the entire staff of Yelp during a football game	1/90th of the coffee volume consumed by all Yelp workers in a time span equal to a football game	1/90th of the coffee consumption of the employees at Yelp in the time taken for a football game	1/90th the amount of coffee consumed by Yelp employees over the duration of a football game	a 90th of the coffee consumption of the employees at Yelp during a football game
twice the distance covered at walking speed over the average lifetime of a person	2 times the walking speed during a dog's life	2 times the distance you could walk in a dog's lifetime	twice the walking speed of the average lifetime for a dog	twice the distance covered at walking speed over a span equal to a dog's lifetime	twice the distance traveled at walking speed over the average lifetime for a dog	twice the distance walked in an average dog's lifetime
one fortieth the water taken for lunch by employees at Google	1/40 the amount of water used by the emloyees of Google during the time it takes to eat lunch	1/40th the total amount of water used in the US by everyone that works at Google in the time it takes to have lunch	one fortieth the water usage in the US over the time taken for lunch by the number of employees at Google	how much water is consumed by 1/40 of the number of employees at google during the time taken for lunch	1/40th the amount of water used in the United States by the staff of Google in the time it takes to have lunch	1/40th the amount of water used by all of the employees at Google during lunch	1/40th of the amount of water used by Google employees during 30 minutes	1/40 the volume of water used during lunch break at Google
4 times the weight of garbage produced in the United States by the staff of Yelp in one hour	4 times the amount of trash generated in an hour by the employees of Yelp	4 times the amount of trash generated by the number of employees at Yelp in an hour	four times the amount of trash generaed in the US by the number of employees at Yelp in an hour	four times the trash generated in the US in an hour by the number of employees at Yelp	4 times the amount of trash generated in one hour by all of the employees at Yelp	four times the amount of trash generated in the US an hour by the number of employees at Yelp	4 times the amount of trash made by Yelp employees in an hour	the amount of trash made by everyone who works at Yelp combined in four hours
twice the trash generated by the average number of employees in a grocery store over the average lifetime of a person	2 times the trash generated by the employees of a grocery store over the lifetime of a dog	2 times the trash generated in the US by 72 people during the average lifetime of a dog	2 times the amount of trash generated in 12 years at a grocery store	twice the amount of trash generated in the US over the average lifetime for a dog by the average number of employees in a grocery store	two times the amount of trash generated in the US by the average number of employees in a grocery store over the average lifetime for a dog	twice the amount of trash generated by the average number of employees in a grocery store over the course of an average lifetime for a dog
one fourth the number of dogs in the United States in one work day	The number of dogs taken care of in an 8-hour work day	1/4 of the number of dogs sheltered over the course of a day	1/4th the number of dogs put in shelters during a workday	1/4 the amount of dogs in shelters in a work day	one fourth the number of dogs in shelters per work day	1/4th the amount of dogs in shelters in a single work day
1/100 times the employee cost during a work game by all the mining employees	one hundredth the cost of the number of employees in the mining industry in the time taken for a soccer game	1/100th of the cost of employing the entire mining industry workforce for the time it takes to play a game of soccer	1/100 the cost to employ everyone in the mining industry for the length of one soccer game	1/100 the cost of an employee working at the entire mining industry in the span of a typical soccer game	1/100th of the wages for all workers in the mining industry for a period equal to a soccer game	1/100th the cost to employ those in the mining industry during a soccer game	1/100 the cost of an employee in the mining industry during the time taken for a soccer game
1/20th of the gun ownership of the number of employees in the manufacturing industry	1/20th the gun ownership rate times the number of employees in the manufacturing industry	1/20th of the number of guns owned by every worker in manufacturing put together	1/20 the guns owned by all employees in the manufacturing industry	1/20 the level of gun ownership by the number of employees in the manufacturing industry	1/20th the amount of guns owned by all of the employees in the manufacturing industry	1/20th of the number of guns owned by everyone in the manufacturing industry
50 times the water US water per minute by the number of employees at Microsoft	50 times the water used in the US by every Microsoft employee in a minute	fifty times the amount of water usage in the US per minute by the number of employees at Microsoft	the amount of water used in the US every 50 minutes by employees at Microsoft	50 times the volume of water used in one minute for the employees at Microsoft	50 times the amount of water used by Microsoft employees in a minute	fifty times the amount of water that every employee at Microsoft, combined, uses in an average minute
1/70 the trash generated in the US per minute by the number of employees on Medicare	1/70 the trash generated by Medicare employees in California in one minute	1/70th the amount of trash generated by all the employees on Medicate in California each minute	1/70 the trash generated in a minute by the number of people on Medicare in California	1/70th the amount of trash generated in the US per minute by all employees on Medicare in California	1/70th the trash generated every minute by employees on medicare in California	1/70 times the US trash produced per minute by all the Medicare California employees	1/70th the amount of trash produced each minute by all the California workers receiving Medicare
one fourth the global birth will die in the blink of an eye	a quarter of the number of babies born worldwide in the time it takes to blink	1/4 of the people born each day who blink during 100 milliseconds	1/4 the number of people born around the world in the time it takes to blink	a quarter of the births occurring worldwide in the blink of an eye	1/4 the people born worldwide in the time taken to blink	a fourth of the global birth rate during the time it takes to blink
1/3 the amount of guns owned by the number of employees in the economy in the US	1/3 the amount of gun ownership for the number of people employed in the economic field	1/3 the number of guns owned by employees in the economy	a third of the economy employees that own guns	1/3rd the gun ownership rate for the number of employees in the economy	a third of the number of guns owned by the amount of employed individuals	1/3rd the number of guns owned by all of the people employed in the economy
one ninth the cost of employees at Yelp over the time taken to graduate college	1/9 the cost of paying 300 people during 4 years	1/9th of the cost of employing the entire staff of Yelp over the time it takes to graduate college	1/9th the cost to employ everyone at Yelp while they were in college	a ninth the cost of employing the number of people at Yelp over the time it takes to graduate college	1/9 the cost to employ everyone at Yelp for the length it takes someone to graduate from college	a ninth of the cost of an all of the employees at Yelp for the time it takes to graduate college
twenty times the water usage of McKinsey employees in the time it takes to blink	20 times the amount of water used in the United States by everyone employed at McKinsey combined in the time it takes to blink	20 times the water usage in the US by the number of employees at McKinsey in the time taken to blink	20 times the amount of water used by McKinsey employees in the time it takes to blink	20 times the amount of water usage in the US in the time taken to blink by the number of employees at McKinsey	twenty times the water usage by the number of employees at McKinsey in the time taken to blink	20 times the water used by McKinsey employees every time you blink
one third of the cost of employing the population of Texas for the length of a time equivalent to a day	a third of what it costs to employ everyone in Texas for the amount of time it takes to play a soccer game	a third of the cost to employ the population of Texas for the duration of a soccer game	a third of the cost of employing the number of people in Texas for the time of a soccer game	1/3rd of the cost to employ the population of Texas for the time taken for a soccer game	1/3 the cost of employing the population of Texas in the time taken for a soccer game	one third of the cost of employing the population of Texas for the time it takes to play a game of soccer
1/20th of the weight of garbage produced in the United States by the number of people killed during the lifespan of an average person	one twentieth the trash generated in the US in the average person's lifetime by the number of those killed on September 11th	1/20 the amount of trash generated in the US by the number of people killed during the September 11th attack over the average lifetime for a person	1/20 times the US trash produced during a lifetime by all the Sept. 11th victims combined	1/20th the trash generated in the US during the average lifetime of a person by the number of people killed during the 9/11 attack	1/20th of the weight of garbage produced in the United States by the number of people killed during 9/11 over the lifetime of an average person	1/20th the amount of trash generated in a lifetime per 3 thousand people
3 times the coffee consumption of the number of people killed in the September of a lifetime	three times the coffee consumption over the lifespan of a dog by the number of people killed during the 9/11 attack	triple the amount of coffee consumed by the number of people killed during 9/11 over the lifespan of an average dog	Thrice the amount of coffee consumed by the people killed during the September 11th attack over the lifetime of a dog	10 million L is 3 times the coffee consumption over the lifetime of a dog, for the number of people killed in the 9/11 attacks	3 times the amount of coffee consumed by the amount of people killed during the September 11th attack during the average lifetime of a dog	thrice the coffee consumption of the casulties of September 11 over the average lifetime of a dog	is 3 times the amount of coffee the same number of people who were killed during the September 11th attack would drink over a dog's lifetime	3 times the amount of coffee consumed over the average lifetime for a dog by a population equal to the number of people killed during the September 11th attack
one half the coffee consumption of the number of people killed by gun violence in 2016 in the average lifetime of a person	1/2 the coffee consumption by people killed by gun violence in 2916 during the average lifetime for a dog	one half the amount of coffee consumed by the number of people killed by gun violence in 2016 over the lifespan of an average dog	half the coffee consumption during the average lifetime of a dog times the number of people killed by gun violence in 2016	one half the coffee consumption of the people killed by gun violence during an average lifetime of a dog	1/2 times the coffee consumed during a dog's life by all the 2016 gun violence victims combined	one half the coffee consumption of the number of people killed by gun violence in 2016 in the average lifetime for a dog
30 times the number of dogs in the United States generates in one minute	30 times the number of dogs in shelters over the course of a given work day	30 times the number of dogs that go into shelpters in a work day	30 times the amount of dogs in shelters in a single work day	thirty times the number of dogs in shelters in the time taken for a work day	thirty times the number of dogs in shelter in a work day	thirty times the amount of dogs in shelters during a work day
1/3 the trash generated in the US by the population of United States in the time taken for a basketball game	1/3 of the trash generated in the US by its population during a basketball game	1/3rd of all trash produced in the span of a basketball game by the whole population of the US	1/3rd of the trash generated in the US by the population of the United States over the course of a basketball game	1/3 the amount of trash generated in the US by the population of the United States during the time taken for a basketball game	one third the trash generated in the US in time taken for a basketball game by the population of the US	one third of the amount of trash generated in the US by the US's population during the time taken for a basketball game
1/100 the trash generated in the US by the number of employees in the mining industry in the time taken for a day	1/100 the amount of trash produced by all employees in the mining industry during a soccer game	1/100th of the amount of trash generated by all the employees in the mining industry during the length of a soccer game	1/100th of the trash generated in the US by every employees in the mining industry in the time it takes for a soccer game	one hundreth the trash generated by US mining industry employees per soccer game	1/100th times the amount of trash generated in the US by the mining industry during a soccer game	1/100th the amount of trash generated by everyone in the mining industry for the duration of a soccer game
1/7th the amount of coffee consumed by the number of employees on Medicare in the time taken for a day	1/7th the amount of coffee consumed by employees on Medicare in California during a soccer game	1/7 the amount of coffee consumed in the time taken for a soccer game by employees on Medicare in California	one seventh of the coffee consumption of the number of employees on Medicare in California over the time taken for a soccer game	22/7 of the gallons of of coffe consumed a year	1/7 of the amount of coffee consumed by the number of employees on Medicare in California during a soccer game	1/7 the amount of coffee drunk by a workforce the size of Medicare in California during the span of a soccer game
1/20 the amount of water that would be consumed by the number of people killed by gun violence in 2016 in the time it takes to play a basketball game	one twentieth of the amount of water used by the same number of people as those killed by gun violence in 2016 during a basketball game	one twentieth the amount of water usage in the US by the number of people killed by gun violence in 2016 in the time taken for basketball game	one twentieth the water usage in the U.S. During the time taken for a basketball game by the number of people killed by gun violence in 2016	1/20 the water used in the US by people killed by gun violence in 2016 during the length of a basektball game	1/20 the amount of water used in the US in the same amount of time as a basketball game by a population equal to the number of people killed by gun violence in 2016	1/20 the water used by the people killed by gun violence in 2016 in a basketball game	1/20 the water used  in the US by the amount of people killed by gun violence in 2016 during a basketball game
50 times the trash generated by the number of employees on Medicare in the time taken for lunch	50 times the weight of garbage produced in the United States by the number of workers on Medicare in California in the time it takes to have lunch	fifty times the trash generated in the US over the time taken for lunch by the number of employees on Medicare in California	fifty times the trash generated by employees on Medicare in California during a lunch break	the amount of trash generated by the employees of Medicare in California generate during lunch	50 times the amount of trash produced by all Medicare employees in California during a lunch period	50 times the amount of trash generated in the US at lunch for employees on Medicare in California	50 times the trash produced by all employees on Medicare in California during lunch
80 times the number of people who die in the time it takes for a work day	80 times the people born globally in the length of a work day	80 times the number of people born throughout the world in a single work day	80 times the number that are born around the world in a work day	the global birth rate for eighty work days	eighty times the global birth rate over the time taken for a work day	80 times the amount of births in a work day in the world
1/20 the cost of the number of employees in the services industry in the time taken for a blink	one twentieth the cost of employees in the service industry over the time taken for a soccer game	1/20th of the cost of all employees in the services industry every soccer game	1/20 the cost to employ everyone in serices for the duration of a soccer game	1/20 times the employee cost during a soccer game by all the services industry employees combined	one twentieth the cost of the number of employees in the services industry for the time taken for a soccer game	1/20th the amount of cost to employ the amount of employees in the services industry during the duration of a soccer game
one seventh the cost of the population of New New the New of the time taken for a basketball game	1/7 times the employee cost during a basketball game by all of New York combined	1/7th the cost to employ the population of New York City for the duration of a basketball game	1/7 the amount it would cost fo employ the population of New York over the duration of a basketball game	a seventh of the cost of wages for all New Yorkers for a time period equal to a basketball game	1/7th the cost of all employees in an hour in New York	1/7th of the cost of employing the population of New York over the course of a basketball game	a seventh of the cost of a the number of employees of the population of New York during the time of a basketball game
1/20th of the weight of garbage produced in the United States by the number of people killed during the time of a basketball game	a 20th of the trash generated in the US by the number of people killed during the September 11th attack during the length of time of a basketball game	1/20 the trash generated by the people killed on 9/11 in the time it takes to play a basketball game	1/20 times the US trash produced during a basketball game by all the Sept. 11th victims	one twentieth of the trash generated in the US by the people killed during the September 11th attack in the time taken for a basketball game	1/20th of the weight of garbage produced in the United States by the number of people killed during 9/11 over the course of a basketball game	1/20th the amount of trash produced in the span of a basketball game by all the people killed in the 9-11 attack
1/20 the amount of coffee consumption by the number of people killed by gun violence in 2016 in the average lifetime of a person	1/20 of the coffee consumed by people killed by gun violence in 2016 over the life of a dog	1/20th of the amount of coffee consumed by the number of people killed by gun violence in 2016 over the lifespan of an average dog	1/20th the coffee consumption during the average lifetime of a dog by the number of people killed by gun violence in 2016	1/20th the coffee consumption, during the average lifetime for a dog, by the amount of people killed by gun violence in 2016	1/20 the coffee consumption by people killed by gun violence in 2016 during the average lifetime for a dog	1/20th the total amount of coffee that would be consumed by everyone killed by gun violence in 2016 over the lifetime of a dog
10 times the weight of a day's worth of time a day	10 times the length of sea level rise in a day	10 times the level of sea rise in one day	the amount the sea level rises over ten days	10 times the amount the sea level rises per day	10 times the amount sea level rises in one day	ten times the daily sea level rise	10 times the increase in sea level in one day	0.001 m is 10 times the sea level rise in a day	10 times the amount of sea level rise in a day	the rise in sea level over 10 days	10 times the daily rise in sea level	10 times the sea level rises during a day
1/20 the amount of coffee consumed by the number of employees on Medicare in the time it takes to graduate college	1/20 the amount of coffee consumption of employees on Medicare in California during the time taken to graduate college	one twentieth of the coffee consumption by the number of employees on Medicare in California in the time taken to graduate college	1/20 the coffee consumption by the number of employees on Medicare in California in the time taken to graduate college	1/20th of the coffee consumed in the time it takes to graduate college by all the California workers on Medicare	1/20th the coffee consumption for the number of employees on Medicare in California during the time taken to graduate college	1/20th of the coffee consumption by the number of employees on Medicare in California in the period it takes to graduate college
10 times the weight of garbage produced in the United States by the average lifespan of a person in the lifetime of a person	10 times the trash generated int he US during the average lifetime for a dog	10 times the trash generated by a person in the US over the average liftime of a dog	10 times the amount of trash generated in the us over the course of a dog's lifespan	10 times the trash generated in the US during a dog's life	10 times the amount of trash generated in the US during a typical dog's lifetime	ten times the weight of trash generated in the US over the average lifespan of a dog
