id	mention_id	mention_sentence	mention_value	mention_unit	mention_normalized_value	mention_normalized_unit	mention_token_begin	mention_token_end	expression_id	expression_value	expression_unit	expression	response_id	response	label
22161	53483	Chinese e-commerce portal Alibaba.com could raise up to US$1.5 billion (euro1 billion) in its Hong Kong listing next month, the company said Monday, describing it as the biggest Internet IPO since Google.	1500000000.0	US$	1500000000.0	money	9	11	23090	3888465753.42466	money	0.257171 * 19990000.000000 person (number of employees in the services industry) * 1.000000 day (a day) * 71000.000000 USD per year per person (cost of an employee)	43369	1/4th of the cost of employing all workers in the service sector for one day	0
22161	53483	Chinese e-commerce portal Alibaba.com could raise up to US$1.5 billion (euro1 billion) in its Hong Kong listing next month, the company said Monday, describing it as the biggest Internet IPO since Google.	1500000000.0	US$	1500000000.0	money	9	11	23035	1264383561.64384	money	0.790899 * 6500000.000000 person (number of employees in the construction industry) * 1.000000 day (a day) * 71000.000000 USD per year per person (cost of an employee)	19698	the cost of an employee for a day for the number of employees in the construction industry.	0
22161	53483	Chinese e-commerce portal Alibaba.com could raise up to US$1.5 billion (euro1 billion) in its Hong Kong listing next month, the company said Monday, describing it as the biggest Internet IPO since Google.	1500000000.0	US$	1500000000.0	money	9	11	23133	107583565.534529	money	9.295100 * 10000.000000 sq-meter (area of a city block) * 1000.000000 USD per sq-ft (cost of property in the Bay area)	23146	9 times the cost of an city block sized property in the Bay area	1
22161	53483	Chinese e-commerce portal Alibaba.com could raise up to US$1.5 billion (euro1 billion) in its Hong Kong listing next month, the company said Monday, describing it as the biggest Internet IPO since Google.	1500000000.0	US$	1500000000.0	money	9	11	23112	180498858.447489	money	5.540201 * 22270000.000000 person (number of employees in the education industry) * 1.000000 hour (an hour) * 71000.000000 USD per year per person (cost of an employee)	17598	the cost of all of the employees in the education industry for six hours.	1
29995	10708	Report: China, Syria in talks on possible US$1 billion refinery project	1000000000.0	US$	1000000000.0	money	10	12	23115	162895786.30137	money	6.138894 * 837422.000000 person (population of San Francisco) * 1.000000 day (a day) * 71000.000000 USD per year per person (cost of an employee)	18640	6 times a full day's wages for all San Franciscans.	1
22788	21152	However, turnover increased to 85 tons from 25 tons on last Friday.	85.0	ton	77110.725	weight	6	7	23805	34022.26635	weight	2.939252 * 837422.000000 person (population of San Francisco) * 30.000000 minute (time taken for lunch) * 4.300000 pound per person per day (trash generated in the US)	43235	3 times the trash generated in San Francisco over the course of one lunch time.	1
24676	11371	Fearful that violence could spread to the north of Kyrgyzstan, police in the capital of Bishkek said Wednesday that 111 people had been detained on suspicion of trying to foment unrest, as accusations mounted that days of brutal bloodletting in the country's south had been deliberately organized.	111.0	people	111.0	person	21	22	21092	72.0	person	1.388889 * 72.000000 person (average number of employees in a grocery store)	32005	the average number of employees at one grocery store. 	1
24676	11371	Fearful that violence could spread to the north of Kyrgyzstan, police in the capital of Bishkek said Wednesday that 111 people had been detained on suspicion of trying to foment unrest, as accusations mounted that days of brutal bloodletting in the country's south had been deliberately organized.	111.0	people	111.0	person	21	22	21093	146.118721	person	0.684375 * 30.000000 minute (time taken for lunch) * 2560000.000000 person per year (death rate in the US)	37846	the number of people that die in the US over a lunch period.	1
24127	42356	The euro traded at US$1.3174, up from US$1.3162 late Friday in New York.	1.3174	US$	1.3174	money	5	6	22008	0.47619	money	2.100000 * 1.000000 hour (an hour) * 80.000000 USD per week (average cost of food)	32092	2 times the average cost of food an hour.	0
24127	42356	The euro traded at US$1.3174, up from US$1.3162 late Friday in New York.	1.3174	US$	1.3174	money	5	6	22024	8.105023	money	0.123380 * 1.000000 person (a person) * 1.000000 hour (an hour) * 71000.000000 USD per year per person (cost of an employee)	39590	1/8th the cost to employ someone for an hour.	1
26122	72204	The airline now has about 350 flights to more than 60 cities and employs about 6,000 people.	6000.0	people	6000.0	person	16	17	21178	1498.0	person	6.675567 * 1498.000000 person (people killed by gun violence in 2016)	29729	7 times the number of people killed by guns in 2016	0
26122	72204	The airline now has about 350 flights to more than 60 cities and employs about 6,000 people.	6000.0	people	6000.0	person	16	17	21172	2337.899543	person	4.277344 * 8.000000 hour (time taken for a work day) * 2560000.000000 person per year (death rate in the US)	37378	4 times the number of people that die in the US during a work day.	0
26122	72204	The airline now has about 350 flights to more than 60 cities and employs about 6,000 people.	6000.0	people	6000.0	person	16	17	21165	15150.684932	person	0.660036 * 1.000000 day (a day) * 5530000.000000 person per year (global death rate)	18806	half the people that die around the world in one day.	0
